x;y;species;natural;denotation;age;family;genus;leaf_type;health;object:city;relation:site
-75,57573667;6,26479399;Ficus benjamina;tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,575734;6,2647981;Ficus benjamina;tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,57555004;6,26479386;Ficus benjamina;tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,57582106;6,26479233;Ficus benjamina;tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,57709154;6,26606945;Fabaceae;tree;university;mature;Fabaceae; ; ; ;Medellin;Volador
-75,57710327;6,26601694;Albizia guachapele;tree;university;mature;Fabaceae;Pseudosamanea; ; ;Medellin;Volador
-75,57538855;6,26495391;Swietenia macrophylla;tree;university;mature;Meliaceae;Swietenia; ; ;Medellin;Volador
-75,57527241;6,26488401;Handroanthus chrysanthus;tree;university;mature;Bignoniaceae;Handroanthus; ; ;Medellin;Volador
-75,5753309;6,26491568;Bischofia javanica;tree;university;mature;Phyllanthaceae;Bischofia; ; ;Medellin;Volador
-75,57529561;6,26485451;Sapindus saponaria;tree;university;mature;Sapindaceae;Sapindus; ; ;Medellin;Volador
-75,57682057;6,26161131;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,57679144;6,26160654;Cycas debaoensis;shrub;university;mature;Cycadaceae;Cycas; ; ;Medellin;Volador
-75,57686722;6,26156831;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,57684343;6,2615936;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,57690095;6,26151568;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,57684315;6,26156606;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,5768619;6,26145028;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,57688077;6,26146018;Zamia sp.;shrub;university;mature;Arecaceae;Zamia; ; ;Medellin;Volador
-75,57666755;6,26129368;Dracaena drago;tree;university;young;Asparagaceae;Dracaena;palm; ;Medellin;Volador
